en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
central core myopathy,セントラルコア病,disease,病気,Human disease,,Q638975
macrocephaly,大頭症,disease,病気,human disease,,Q635339
Menkes disease,メンケス病,disease,病気,Human disease,,Q639203
glycogen storage disease I,グルコース-6-ホスファターゼ欠損症,disease,病気,rare disease,,Q630090
dopamine-responsive dystonia,ジストニア,disease,病気,genetic movement disorder,,Q689777
hemophilia C,第XI因子欠乏症,disease,病気,human disease,,Q1393718
Barth syndrome,バース症候群,disease,病気,lipid metabolism disorder that has material basis in X-linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin,,Q928424
alpha-1-antitrypsin deficiency,α1-アンチトリプシン欠乏症,disease,病気,genetic disorder that may result in lung disease or liver disease,,Q622437
factor XIII deficiency,第XIII因子欠乏症,disease,病気,Human disease,,Q1393725
Guillain–Barré syndrome,ギラン・バレー症候群,disease,病気,autoimmune disease that causes the immune system to attack part of the peripheral nervous system,主に感染症をきっかけに発症する急性の炎症性多発神経障害であり、自己免疫反応による攻撃によって末梢神経根に炎症を引き起こす自己免疫疾患,Q205214
pycnodysostosis,濃化異骨症,disease,病気,"osteochondrodysplasia that has material basis in a mutation in the CTSK gene which results in dwarfism, brittle bones, osteopetrosis, shortening of the distal phalanges",,Q974928
Rubinstein-Taybi syndrome,ルビンシュタイン・テイビ症候群,disease,病気,rare disease,,Q666980
Niigata Minamata disease,第二水俣病,disease,病気,Japanese outbreak of mercury poisoning,日本の公害病、有機水銀を含んだ廃液による食物連鎖で生じた中毒性中枢神経系疾患,Q996200
essential thrombocytosis,本態性血小板血症,disease,病気,human disease,,Q1368780
congenital central hypoventilation syndrome,先天性中枢性肺胞低換気症候群,disease,病気,Human disease,,Q979129
adrenocortical carcinoma,副腎皮質癌,disease,病気,adrenal cortex cancer that forms in the outer layer of tissue of the adrenal gland and that has material basis in abnormally proliferating cells derives from epithelial cells,,Q918285
autoimmune thrombocytopenic purpura,特発性血小板減少性紫斑病,disease,病気,primary thrombocytopenia that involves relatively few platelets in blood as a result of autoantibodies,,Q638729
XY gonadal dysgenesis,XY型性腺形成異常症,disease,病気,"gonadal dysgenesis that is characterized by a normal 46,XY karyotype along with a progressive loss of germ cells on the developing gonads of an embryo",,Q957751
multiple endocrine neoplasia type 2B,多発性内分泌腫瘍症2B型,disease,病気,"autosomal dominant disease characterized by medullary thyroid carcinoma, pheochromocytoma, multiple mucosal neuromas and intestinal ganglioneuromas, and often a marfanoid habitus and other skeletal abnormalities",,Q624748
premature ovarian failure,早発卵巣不全,disease,病気,ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40,,Q647630
Laron syndrome,ラロン症候群,disease,病気,congenital disorder characterized by marked short stature associated with normal or high serum growth hormone (GH) and low serum insulin-like growth factor-1 (IGF-I) levels which fail to rise after exogenous GH administration,,Q669822
postural orthostatic tachycardia syndrome,体位性起立性頻拍症候群,disease,病気,condition in which a change from lying to standing causes an abnormally large increase in heart rate,,Q620760
Roberts syndrome,ロバーツ症候群,disease,病気,Human disease,,Q619428
dysautonomia,自律神経不全,disease,病気,"any disease or malfunction, mostly of neurogenic origin, of the autonomic nervous system",神経疾患による自律神経機能低下等の総称,Q620639
amyotrophic lateral sclerosis,筋萎縮性側索硬化症,disease,病気,rare neurodegenerative disease with amyotrophy and progressive paralysis,筋肉の萎縮と筋力低下をもたらす神経変性疾患,Q206901
rickets,くる病,disease,病気,human disease,カルシウム・リン・ビタミンDなどの摂取不足・代謝異常によって、骨形成過程の石灰化が正常にならず、弱い骨となる病気,Q183392
Burkitt lymphoma,バーキットリンパ腫,disease,病気,type of cancer,悪性リンパ腫の一つ,Q1016605
patellofemoral pain syndrome,膝蓋大腿疼痛症候群,disease,病気,Human disease,,Q7144437
furunculosis of fish,せっそう病,disease,病気,,,Q9378210
Columnaris,カラムナリス病,disease,病気,bacterial infection of fish,,Q3400643
temporal lobe epilepsy,側頭葉てんかん,disease,病気,Human disease,,Q616667
focal segmental glomerulosclerosis,巣状糸球体硬化症,disease,病気,kidney disease,,Q1435223
atransferrinemia,無トランスフェリン血症,disease,病気,Human disease,,Q1437472
Kikuchi disease,組織球性壊死性リンパ節炎,disease,病気,rare disease,感染症や免疫異常が原因でリンパ節で炎症と組織の壊死が起こる病気,Q1060827
Ohtahara syndrome,大田原症候群,disease,病気,neonatoal period electroclinical syndrome that is characterized by tonic spasms and partial seizures,,Q649602
monilethrix,連珠毛,disease,病気,Human disease,,Q1363508
hypertrophic cardiomyopathy,肥大型心筋症,disease,病気,disease in which the heart muscle is enlarged,,Q1364270
Fabry disease,ファブリー病,disease,病気,rare human genetic lysosomal storage disorder,,Q615645
metabolic syndrome,メタボリックシンドローム,disease,病気,"disease diagnosed by a cluster of at least 3 out of the following conditions: abdominal obesity, high blood pressure, high blood sugar, high serum triglycerides, low serum high-density lipoprotein",内臓脂肪型肥満に高血糖・高血圧・脂質異常症のうち2つ以上の症状が一度に出ている状態,Q657193
hereditary spastic paraplegia,遺伝性痙性対麻痺,disease,病気,genetically and clinically heterogeneous group of neurodegenerative disorders characterized by progressive spasticity and hyperreflexia of the lower limbs,,Q657516
fragile X-associated tremor/ataxia syndrome,脆弱X随伴振戦/失調症候群,disease,病気,Fragile X-associated tremor/ataxia syndrome (FXTAS) is a rare neurodegenerative disorder characterized by adult-onset progressive intention tremor and gait ataxia,,Q1440436
diabetes insipidus,尿崩症,disease,病気,"human disease, a condition characterized by large amounts of dilute urine and increased thirst",,Q220551
precocious puberty,性的早熟,disease,病気,human disease,,Q224513
pantothenate kinase-associated neurodegeneration,パントテン酸キナーゼ関連神経変性症,disease,病気,neurodegeneration with brain iron accumulation that has_material_basis_in autosomal recessive inheritance of mutation in the PANK2 gene on chromosome 20p13,,Q1436162
choreatic disease,舞踏運動,disease,病気,"movement disease characterized by brief, semi-directed, irregular movements that not repetitive or rhythmic, but appear to flow from one muscle to the next",,Q1076421
encephalopathy due to GLUT1 deficiency,De Vivo病,disease,病気,disease,,Q1485893
Arnold-Chiari malformation,アーノルド・キアリ奇形,disease,病気,human disease,小脳の形成異常に関連した脳の奇形,Q1071707
paroxysmal nocturnal hemoglobinuria,発作性夜間血色素尿症,disease,病気,"disease of the blood characterized by destruction of red blood cells by the complement system, a part of the body's innate immune system",,Q1479494
glycogen storage disease II,ポンペ病,disease,病気,human disease,,Q1365789
Wiskott-Aldrich syndrome,ウィスコット・アルドリッチ症候群,disease,病気,rare disease,,Q953638
Tangier disease,タンジール病,disease,病気,extremely rare inherited human disorder,,Q1442621
progeria,ハッチンソン・ギルフォード・プロジェリア症候群,disease,病気,genetic disorder that causes early aging,先天的遺伝子異常を原因とする早老症のひとつ,Q213098
chondrosarcoma,軟骨肉腫,disease,病気,connective tissue cancer that has material basis in cells derived from transformed cells that produce cartilage,軟骨から発生する悪性骨腫瘍,Q1076087
progressive supranuclear palsy,進行性核上性麻痺,disease,病気,"neurodegenerative disease characterized by supranuclear gaze palsy, postural instability, progressive rigidity, and mild dementia",,Q945930
fragile X syndrome,脆弱X症候群,disease,病気,congenital disorder of nervous system,,Q221472
cleft lip and cleft palate,口唇口蓋裂,disease,病気,congenital malformations caused by the failure of embryonic structures of the lip and/or palate to fuse,口蓋が閉じていない、または口唇に裂け目がある先天性異常のひとつ,Q222634
alkaptonuria,アルカプトン尿症,disease,病気,"amino acid metabolic disorder that involves phenylalanine and tyrosine metabolism with the accumulation of homogentisic acid, a toxic tyrosine byproduct",,Q651680
short QT syndrome,QT短縮症候群,disease,病気,"heart conduction disease that is characterized by heart arrhythmia defined as a short QT interval on an EKG (less than 300 ms) that does not significantly change with heart rate, tall and peaked T waves, and a structurally normal heart",,Q1484058
prune belly syndrome,プルーンベリー症候群,disease,病気,pediatrics cases,,Q250354
xeroderma pigmentosum,色素性乾皮症,disease,病気,autosomal recessive disease that is characterized by a deficiency in the ability to repair ultraviolet damage that has material basis in autosomal recessive inheritance of DNA repair,,Q612693
TAR syndrome,血小板減少橈骨欠損症候群,disease,病気,genetic disorder,,Q660330
polycystic liver disease,多発肝嚢胞症,disease,病気,human disease,,Q246002
Marfan syndrome,マルファン症候群,disease,病気,genetic disorder of the connective tissue,,Q208562
long QT syndrome,QT延長症候群,disease,病気,condition involving delayed repolarization of the heart during the heartbeat cycle,,Q653924
